Date,Stock A,Stock B,Stock C,Stock D,Stock E,Stock F,Stock G,Stock H,Stock I,Stock J,Stock K
2020-01-02,60.70000076293945,54.2599983215332,60.58000183105469,31.079999923706055,83.01000213623047,93.38999938964844,62.47999954223633,38.220001220703125,63.810001373291016,102.12999725341797,126.91000366210938
2020-01-03,59.720001220703125,53.90999984741211,60.400001525878906,30.75,82.8499984741211,92.33999633789062,62.380001068115234,38.5,63.939998626708984,101.23999786376953,125.83000183105469
2020-01-06,59.459999084472656,54.630001068115234,60.869998931884766,30.729999542236328,82.87999725341797,92.55999755859375,62.5099983215332,38.5099983215332,64.0,101.87000274658203,126.18000030517578
2020-01-07,59.38999938964844,54.70000076293945,60.709999084472656,30.530000686645508,82.70999908447266,92.5199966430664,62.029998779296875,38.09000015258789,63.90999984741211,101.66999816894531,125.9800033569336
2020-01-08,59.599998474121094,55.09000015258789,59.709999084472656,30.729999542236328,82.98999786376953,93.51000213623047,62.2599983215332,38.279998779296875,63.880001068115234,102.33000183105469,126.36000061035156
2020-01-09,59.81999969482422,55.380001068115234,60.150001525878906,30.920000076293945,83.33999633789062,94.56999969482422,62.70000076293945,38.27000045776367,64.2300033569336,102.7699966430664,127.02999877929688
2020-01-10,59.58000183105469,55.15999984741211,59.810001373291016,30.690000534057617,82.75,94.3499984741211,62.65999984741211,38.63999938964844,64.4000015258789,102.80000305175781,126.33999633789062
2020-01-13,60.349998474121094,55.68000030517578,59.83000183105469,30.899999618530273,83.43000030517578,95.52999877929688,63.06999969482422,39.11000061035156,64.79000091552734,102.44000244140625,126.73999786376953
2020-01-14,60.099998474121094,55.540000915527344,59.84000015258789,30.84000015258789,83.44000244140625,95.08000183105469,63.09000015258789,38.91999816894531,64.9800033569336,103.05999755859375,126.69999694824219
2020-01-15,60.5099983215332,55.810001373291016,59.400001525878906,30.670000076293945,83.56999969482422,95.19000244140625,63.540000915527344,39.189998626708984,65.88999938964844,103.94999694824219,126.41000366210938
2020-01-16,60.869998931884766,56.2400016784668,59.5,30.940000534057617,84.4000015258789,96.47000122070312,63.709999084472656,39.540000915527344,66.30000305175781,104.48999786376953,127.54000091552734
2020-01-17,61.13999938964844,56.68000030517578,59.119998931884766,31.030000686645508,84.41000366210938,97.12000274658203,63.81999969482422,39.59000015258789,66.76000213623047,104.48999786376953,127.98999786376953
2020-01-21,60.47999954223633,56.630001068115234,58.060001373291016,30.770000457763672,83.4800033569336,97.08000183105469,64.04000091552734,39.9900016784668,67.37000274658203,104.5999984741211,127.5999984741211
2020-01-22,60.2400016784668,56.599998474121094,57.5,30.860000610351562,83.04000091552734,97.43000030517578,64.08999633789062,39.66999816894531,67.58000183105469,104.7300033569336,127.54000091552734
2020-01-23,60.16999816894531,56.369998931884766,57.279998779296875,30.780000686645508,83.94000244140625,97.88999938964844,64.02999877929688,40.04999923706055,68.18000030517578,104.19999694824219,127.7300033569336
2020-01-24,59.7400016784668,55.689998626708984,56.619998931884766,30.389999389648438,83.55000305175781,97.43000030517578,63.59000015258789,39.9900016784668,68.36000061035156,102.45999908447266,125.94999694824219
2020-01-27,58.45000076293945,54.81999969482422,55.04999923706055,29.920000076293945,81.97000122070312,95.11000061035156,63.38999938964844,39.81999969482422,68.19000244140625,101.68000030517578,124.06999969482422
2020-01-28,59.11000061035156,55.45000076293945,55.29999923706055,30.270000457763672,82.5,96.93000030517578,63.470001220703125,39.91999816894531,68.47000122070312,102.18000030517578,125.27999877929688
2020-01-29,59.29999923706055,55.36000061035156,54.720001220703125,30.219999313354492,82.94000244140625,97.18000030517578,63.150001525878906,39.709999084472656,68.6500015258789,101.9000015258789,125.20999908447266
2020-01-30,58.93000030517578,54.79999923706055,55.15999984741211,30.600000381469727,83.02999877929688,98.0199966430664,63.900001525878906,39.79999923706055,69.29000091552734,101.16000366210938,125.0
2020-01-31,57.630001068115234,53.90999984741211,53.439998626708984,29.959999084472656,81.11000061035156,95.33000183105469,63.18000030517578,39.22999954223633,68.9800033569336,99.13999938964844,125.31999969482422
